dataset,setting,candidate,seed,PR-AUC,ROC-AUC,category
wine,unsupervised,unsup_lfdanc,111,24.849676795264696,85.12605042016807,classical
WPBC,unsupervised,unsup_lfdanc,111,22.64616303368555,51.402000845427644,classical
backdoor,unsupervised,unsup_lfdanc,222,63.95563352442928,91.02372031930265,classical
fault,unsupervised,unsup_lfdanc,222,39.92311061161432,56.91943883266695,classical
fraud,unsupervised,unsup_lfdanc,222,18.84211531117436,95.54443506994204,classical
glass,unsupervised,unsup_lfdanc,222,9.785129205638537,75.60975609756098,classical
InternetAds,unsupervised,unsup_lfdanc,222,25.559746422308372,58.120714752135825,classical
Ionosphere,unsupervised,unsup_lfdanc,222,88.5214616889612,90.62786596119929,classical
landsat,unsupervised,unsup_lfdanc,222,18.622089122118275,44.567021802491,classical
letter,unsupervised,unsup_lfdanc,222,15.216083924746881,72.55333333333333,classical
magic.gamma,unsupervised,unsup_lfdanc,222,62.15683685966437,69.10644856342934,classical
skin,unsupervised,unsup_lfdanc,222,22.44841971331534,60.75153390239976,classical
vertebral,unsupervised,unsup_lfdanc,222,9.968828823225966,42.82539682539683,classical
vowels,unsupervised,unsup_lfdanc,222,21.254671910271817,82.52773826458038,classical
wine,unsupervised,unsup_lfdanc,222,14.53444703705537,74.6218487394958,classical
WPBC,unsupervised,unsup_lfdanc,222,21.456504960772733,47.329857686346344,classical
backdoor,unsupervised,unsup_lfdanc,333,65.5631202505452,90.988016685365,classical
fault,unsupervised,unsup_lfdanc,333,40.48435213269136,57.52926066719477,classical
fraud,unsupervised,unsup_lfdanc,333,13.50442355049856,95.44559852814116,classical
glass,unsupervised,unsup_lfdanc,333,9.53187205560442,76.36856368563686,classical
InternetAds,unsupervised,unsup_lfdanc,333,24.781328278441933,57.41738994395168,classical
Ionosphere,unsupervised,unsup_lfdanc,333,88.38492505990699,90.80423280423281,classical
landsat,unsupervised,unsup_lfdanc,333,19.555510152614453,46.241570682753,classical
letter,unsupervised,unsup_lfdanc,333,16.85440857388148,75.05199999999999,classical
magic.gamma,unsupervised,unsup_lfdanc,333,62.91556247323873,69.77544647429879,classical
skin,unsupervised,unsup_lfdanc,333,22.878802989685255,61.623427634942516,classical
vertebral,unsupervised,unsup_lfdanc,333,9.223923514180516,38.06349206349206,classical
vowels,unsupervised,unsup_lfdanc,333,21.677280326423194,81.19630156472262,classical
wine,unsupervised,unsup_lfdanc,333,15.601176636101888,70.58823529411765,classical
WPBC,unsupervised,unsup_lfdanc,333,22.884192024418038,50.41566859236297,classical
backdoor,unsupervised,unsup_lfdanc,444,63.19536944355616,90.88960211821954,classical
fault,unsupervised,unsup_lfdanc,444,40.10201391481122,57.02748182487192,classical
fraud,unsupervised,unsup_lfdanc,444,24.981863991986252,95.64330914311377,classical
glass,unsupervised,unsup_lfdanc,444,9.725188731001309,74.52574525745257,classical
InternetAds,unsupervised,unsup_lfdanc,444,24.044047417541215,56.32363144147576,classical
Ionosphere,unsupervised,unsup_lfdanc,444,89.4115455925102,91.43915343915343,classical
landsat,unsupervised,unsup_lfdanc,444,18.682108315302663,44.66256705297453,classical
letter,unsupervised,unsup_lfdanc,444,18.27295621243012,75.224,classical
magic.gamma,unsupervised,unsup_lfdanc,444,62.374396006812326,69.06709852668669,classical
skin,unsupervised,unsup_lfdanc,444,22.777640837817,61.3698894366983,classical
vertebral,unsupervised,unsup_lfdanc,444,9.650009386570389,40.95238095238095,classical
vowels,unsupervised,unsup_lfdanc,444,19.80286242803261,81.68563300142247,classical
wine,unsupervised,unsup_lfdanc,444,10.789962437434808,63.10924369747899,classical
WPBC,unsupervised,unsup_lfdanc,444,22.444177886776,50.72565872904045,classical
backdoor,unsupervised,unsup_lfdanc,555,67.15753721649415,91.25001338892045,classical
fault,unsupervised,unsup_lfdanc,555,41.29475386629441,58.18677610023391,classical
fraud,unsupervised,unsup_lfdanc,555,16.711806684909757,95.52797273835601,classical
glass,unsupervised,unsup_lfdanc,555,10.73777860104118,75.93495934959348,classical
InternetAds,unsupervised,unsup_lfdanc,555,26.520170999810293,58.53189448767482,classical
Ionosphere,unsupervised,unsup_lfdanc,555,88.21887838804734,90.37037037037037,classical
landsat,unsupervised,unsup_lfdanc,555,20.368693668924344,47.627395872880406,classical
letter,unsupervised,unsup_lfdanc,555,16.430220960143345,73.41399999999999,classical
magic.gamma,unsupervised,unsup_lfdanc,555,62.43559678959964,69.54223980828654,classical
skin,unsupervised,unsup_lfdanc,555,23.005966520885213,61.953308697934496,classical
vertebral,unsupervised,unsup_lfdanc,555,10.101461176596528,43.47619047619048,classical
vowels,unsupervised,unsup_lfdanc,555,17.73299996179963,80.76102418207681,classical
wine,unsupervised,unsup_lfdanc,555,16.65096571367706,77.81512605042018,classical
WPBC,unsupervised,unsup_lfdanc,555,22.52728210559538,48.612089615330426,classical
backdoor,unsupervised,unsup_ssts,111,54.274266559984355,89.77585331283443,classical
fault,unsupervised,unsup_ssts,111,40.842846997507515,57.627694629724246,classical
fraud,unsupervised,unsup_ssts,111,12.077507318228232,95.30431972495867,classical
glass,unsupervised,unsup_ssts,111,9.66601685272629,77.34417344173443,classical
InternetAds,unsupervised,unsup_ssts,111,25.983740227971996,56.542145072645155,classical
Ionosphere,unsupervised,unsup_ssts,111,88.45300863889494,90.2363315696649,classical
landsat,unsupervised,unsup_ssts,111,18.65873558475998,44.50905209642278,classical
letter,unsupervised,unsup_ssts,111,16.527237652884104,71.26733333333333,classical
magic.gamma,unsupervised,unsup_ssts,111,62.857476928470625,69.86103336498036,classical
skin,unsupervised,unsup_ssts,111,22.385105757624107,60.56995166037618,classical
vertebral,unsupervised,unsup_ssts,111,9.020783627077723,36.46031746031746,classical
vowels,unsupervised,unsup_ssts,111,14.926482461153714,78.34281650071124,classical
wine,unsupervised,unsup_ssts,111,11.701993231813468,69.5798319327731,classical
WPBC,unsupervised,unsup_ssts,111,21.778352090221414,49.18979850641115,classical
backdoor,unsupervised,unsup_ssts,222,54.66998611188048,89.47711902750268,classical
fault,unsupervised,unsup_ssts,222,39.789357067142355,56.97967104307189,classical
fraud,unsupervised,unsup_ssts,222,8.649088341139285,95.12882589432967,classical
glass,unsupervised,unsup_ssts,222,10.713043695706325,74.90514905149051,classical
InternetAds,unsupervised,unsup_ssts,222,28.21700423268937,58.8407044131251,classical
Ionosphere,unsupervised,unsup_ssts,222,87.75630264328433,90.05996472663138,classical
landsat,unsupervised,unsup_ssts,222,18.290378277399476,43.704151733738996,classical
letter,unsupervised,unsup_ssts,222,16.38431408663708,71.02666666666667,classical
magic.gamma,unsupervised,unsup_ssts,222,61.81395665585478,69.17003219441544,classical
skin,unsupervised,unsup_ssts,222,22.043383927740443,59.79396989311978,classical
vertebral,unsupervised,unsup_ssts,222,9.170873604854075,37.38095238095238,classical
vowels,unsupervised,unsup_ssts,222,19.168506768284598,79.9985775248933,classical
wine,unsupervised,unsup_ssts,222,15.31827319010382,78.4873949579832,classical
WPBC,unsupervised,unsup_ssts,222,21.727850455993412,48.30209947865295,classical
backdoor,unsupervised,unsup_ssts,333,53.36331114891434,88.96916993310158,classical
fault,unsupervised,unsup_ssts,333,40.31301108557997,56.281610192133726,classical
fraud,unsupervised,unsup_ssts,333,21.953714398977496,95.32370056743143,classical
glass,unsupervised,unsup_ssts,333,10.249189789421848,73.7669376693767,classical
InternetAds,unsupervised,unsup_ssts,333,25.086384370083657,56.40525521031725,classical
Ionosphere,unsupervised,unsup_ssts,333,87.67918926935488,89.8941798941799,classical
landsat,unsupervised,unsup_ssts,333,19.3993222050058,46.031291731204064,classical
letter,unsupervised,unsup_ssts,333,16.30196799409129,70.68133333333333,classical
magic.gamma,unsupervised,unsup_ssts,333,62.369827617905216,69.43008229164566,classical
skin,unsupervised,unsup_ssts,333,22.09402693397442,59.87939912313862,classical
vertebral,unsupervised,unsup_ssts,333,9.001939592587844,36.31746031746032,classical
vowels,unsupervised,unsup_ssts,333,14.633469575235422,78.31863442389758,classical
wine,unsupervised,unsup_ssts,333,17.153242932814496,78.9075630252101,classical
WPBC,unsupervised,unsup_ssts,333,21.888529706042497,47.372129068620545,classical
backdoor,unsupervised,unsup_ssts,444,55.21321351669778,89.43641786359,classical
fault,unsupervised,unsup_ssts,444,40.111983239503836,57.145485396618554,classical
fraud,unsupervised,unsup_ssts,444,12.821152128143712,95.39645816810594,classical
glass,unsupervised,unsup_ssts,444,9.767218904428859,70.51490514905149,classical
InternetAds,unsupervised,unsup_ssts,444,25.64255482232589,57.49527262338794,classical
Ionosphere,unsupervised,unsup_ssts,444,88.44148654596613,90.663139329806,classical
landsat,unsupervised,unsup_ssts,444,18.72164451912669,44.80309855982224,classical
letter,unsupervised,unsup_ssts,444,17.428561661586127,72.52266666666667,classical
magic.gamma,unsupervised,unsup_ssts,444,61.78811278881218,68.84412690774536,classical
skin,unsupervised,unsup_ssts,444,21.871136080024733,59.347141624152634,classical
vertebral,unsupervised,unsup_ssts,444,9.268080351677733,38.19047619047619,classical
vowels,unsupervised,unsup_ssts,444,17.39718240382134,79.42674253200568,classical
wine,unsupervised,unsup_ssts,444,17.34080385280801,79.32773109243698,classical
WPBC,unsupervised,unsup_ssts,444,22.50209746977147,49.23206988868535,classical
backdoor,unsupervised,unsup_ssts,555,53.24001344978214,89.20307368061422,classical
fault,unsupervised,unsup_ssts,555,41.09503457321172,56.94756282196109,classical
fraud,unsupervised,unsup_ssts,555,29.187122151421203,95.57843777706194,classical
glass,unsupervised,unsup_ssts,555,9.260303202388567,74.09214092140921,classical
InternetAds,unsupervised,unsup_ssts,555,26.82521935835298,57.8925082984165,classical
Ionosphere,unsupervised,unsup_ssts,555,87.55377980604263,89.80246913580247,classical
landsat,unsupervised,unsup_ssts,555,20.288490493151023,47.51644104675719,classical
letter,unsupervised,unsup_ssts,555,18.096123110123443,72.72466666666666,classical
magic.gamma,unsupervised,unsup_ssts,555,62.001448403926815,69.4326302927615,classical
skin,unsupervised,unsup_ssts,555,22.524382549624473,60.8952901203787,classical
vertebral,unsupervised,unsup_ssts,555,9.104611913859655,37.095238095238095,classical
vowels,unsupervised,unsup_ssts,555,17.61788717074341,79.25604551920343,classical
wine,unsupervised,unsup_ssts,555,15.752218618103253,79.49579831932773,classical
WPBC,unsupervised,unsup_ssts,555,22.10701810608843,47.78075243060448,classical
backdoor,unsupervised,unsup_classical_plus,111,44.77063573708672,87.19596023952316,classical
fault,unsupervised,unsup_classical_plus,111,31.709674218535643,46.752968252703425,classical
fraud,unsupervised,unsup_classical_plus,111,13.727774186186345,91.55075013414785,classical
glass,unsupervised,unsup_classical_plus,111,9.016809194945685,73.33333333333334,classical
InternetAds,unsupervised,unsup_classical_plus,111,21.084722290658895,54.457508026337266,classical
Ionosphere,unsupervised,unsup_classical_plus,111,48.06954384262527,65.47442680776014,classical
landsat,unsupervised,unsup_classical_plus,111,21.593198487891108,52.8824728722361,classical
letter,unsupervised,unsup_classical_plus,111,5.193300885863204,44.69866666666667,classical
magic.gamma,unsupervised,unsup_classical_plus,111,48.53840053348011,59.88458567355788,classical
skin,unsupervised,unsup_classical_plus,111,16.79779453841686,42.89669634952254,classical
vertebral,unsupervised,unsup_classical_plus,111,8.476475621602454,30.952380952380953,classical
vowels,unsupervised,unsup_classical_plus,111,2.5040014247413893,38.39402560455192,classical
wine,unsupervised,unsup_classical_plus,111,45.79677348343317,86.30252100840336,classical
WPBC,unsupervised,unsup_classical_plus,111,28.546466081786566,53.741017331266725,classical
backdoor,unsupervised,unsup_classical_plus,222,43.158641928323924,86.4561381274902,classical
fault,unsupervised,unsup_classical_plus,222,34.71644572704653,51.0649617279379,classical
fraud,unsupervised,unsup_classical_plus,222,19.122805317875226,92.91504120086661,classical
glass,unsupervised,unsup_classical_plus,222,9.708390434101071,76.7479674796748,classical
InternetAds,unsupervised,unsup_classical_plus,222,21.384339582766515,55.76161778309844,classical
Ionosphere,unsupervised,unsup_classical_plus,222,46.156627208328906,62.423280423280424,classical
landsat,unsupervised,unsup_classical_plus,222,23.092663054449712,56.23847406383151,classical
letter,unsupervised,unsup_classical_plus,222,5.015272145944858,42.154666666666664,classical
magic.gamma,unsupervised,unsup_classical_plus,222,50.25701584673574,60.99338991645805,classical
skin,unsupervised,unsup_classical_plus,222,16.970864215958027,43.68007552998727,classical
vertebral,unsupervised,unsup_classical_plus,222,8.965331314614708,34.96825396825397,classical
vowels,unsupervised,unsup_classical_plus,222,2.6052210071175206,40.72830725462304,classical
wine,unsupervised,unsup_classical_plus,222,41.33107010715417,82.60504201680673,classical
WPBC,unsupervised,unsup_classical_plus,222,32.93464378650982,51.472453149217976,classical
backdoor,unsupervised,unsup_classical_plus,333,42.23155692024668,86.09933401662995,classical
fault,unsupervised,unsup_classical_plus,333,33.877686507063196,50.615563815675365,classical
fraud,unsupervised,unsup_classical_plus,333,20.952073724585297,92.24522740364839,classical
glass,unsupervised,unsup_classical_plus,333,9.524457557526311,78.04878048780488,classical
InternetAds,unsupervised,unsup_classical_plus,333,21.426683689617125,55.520997714534474,classical
Ionosphere,unsupervised,unsup_classical_plus,333,42.322940245168304,64.95238095238093,classical
landsat,unsupervised,unsup_classical_plus,333,23.249473989782956,56.3884159985508,classical
letter,unsupervised,unsup_classical_plus,333,5.152595113741668,44.35,classical
magic.gamma,unsupervised,unsup_classical_plus,333,48.92247684505377,60.25106377076327,classical
skin,unsupervised,unsup_classical_plus,333,17.16190484255316,43.057778326243486,classical
vertebral,unsupervised,unsup_classical_plus,333,9.556454470539318,39.11111111111111,classical
vowels,unsupervised,unsup_classical_plus,333,2.4012409674801,35.8122332859175,classical
wine,unsupervised,unsup_classical_plus,333,42.30698144893405,82.52100840336134,classical
WPBC,unsupervised,unsup_classical_plus,333,25.0616309534481,45.01902212202339,classical
backdoor,unsupervised,unsup_classical_plus,444,43.27974405032445,87.6798155099101,classical
fault,unsupervised,unsup_classical_plus,444,33.22625430105326,49.47595633281929,classical
fraud,unsupervised,unsup_classical_plus,444,20.386210956214608,92.61912671577342,classical
glass,unsupervised,unsup_classical_plus,444,10.365912107566908,74.14634146341463,classical
InternetAds,unsupervised,unsup_classical_plus,444,22.972588236202757,56.02604478424117,classical
Ionosphere,unsupervised,unsup_classical_plus,444,49.58083083856664,67.18165784832452,classical
landsat,unsupervised,unsup_classical_plus,444,22.671908524411315,54.36035116187906,classical
letter,unsupervised,unsup_classical_plus,444,5.037089412533848,41.894666666666666,classical
magic.gamma,unsupervised,unsup_classical_plus,444,47.732148918724924,59.09079996880562,classical
skin,unsupervised,unsup_classical_plus,444,16.919060435712392,42.973953531329215,classical
vertebral,unsupervised,unsup_classical_plus,444,8.930028822042944,35.492063492063494,classical
vowels,unsupervised,unsup_classical_plus,444,2.65680095100065,41.85917496443812,classical
wine,unsupervised,unsup_classical_plus,444,31.410729385206544,77.22689075630252,classical
WPBC,unsupervised,unsup_classical_plus,444,25.422320842744416,51.06382978723404,classical
backdoor,unsupervised,unsup_classical_plus,555,41.36311939702686,86.14197172629355,classical
fault,unsupervised,unsup_classical_plus,555,32.01669619254537,47.106275868210986,classical
fraud,unsupervised,unsup_classical_plus,555,16.275427248091855,92.7097546106038,classical
glass,unsupervised,unsup_classical_plus,555,9.984171574853908,77.07317073170732,classical
InternetAds,unsupervised,unsup_classical_plus,555,23.97297477299853,56.90435054687926,classical
Ionosphere,unsupervised,unsup_classical_plus,555,47.443237732240796,66.70546737213402,classical
landsat,unsupervised,unsup_classical_plus,555,22.10302542544151,52.56955408981606,classical
letter,unsupervised,unsup_classical_plus,555,5.050757012705271,43.07666666666667,classical
magic.gamma,unsupervised,unsup_classical_plus,555,49.309880117990026,60.442196591083686,classical
skin,unsupervised,unsup_classical_plus,555,16.90765136513866,43.166116081537474,classical
vertebral,unsupervised,unsup_classical_plus,555,9.451578838953775,39.22222222222222,classical
vowels,unsupervised,unsup_classical_plus,555,2.5930375883412267,40.0,classical
wine,unsupervised,unsup_classical_plus,555,47.047477668048806,84.11764705882354,classical
WPBC,unsupervised,unsup_classical_plus,555,27.395200285652276,54.741440045089476,classical
