name,category,n,d,contam_true,contam_lf,idim,skew,nnz,cluster_sep,n_files,regime_tags
landsat,classical,6435,36,0.207148,0.048400,3.8335,0.4277,1.0000,1.4231,1,heavy
letter,classical,1600,32,0.062500,0.039375,12.2239,0.5995,0.9324,1.0269,1,mid
Lymphography,classical,148,18,0.040541,0.047297,6.2537,2.2452,1.0000,0.7454,1,tiny
magic.gamma,classical,19020,10,0.351630,0.050000,5.8658,1.0802,1.0000,1.2446,1,heavy
mammography,classical,11183,6,0.023250,0.050000,4.6179,4.4427,1.0000,1.4681,1,mid
mnist,classical,7603,100,0.092069,0.049400,18.7246,12.8720,0.9000,0.5278,1,skew
musk,classical,3062,166,0.031679,0.049314,8.3635,0.7467,0.9976,1.4320,1,highd
optdigits,classical,5216,64,0.028758,0.010000,17.8732,5.4696,0.5083,0.6616,1,skew
PageBlocks,classical,5393,10,0.094567,0.050000,1.2355,14.7813,1.0000,1.5903,1,"multi,skew"
pendigits,classical,6870,16,0.022707,0.010000,7.5187,0.5402,0.8747,1.0757,1,mid
Pima,classical,768,8,0.348958,0.050781,1.6254,1.0952,0.8758,0.8836,1,heavy
satellite,classical,6435,36,0.316395,0.048400,3.6926,0.4277,1.0000,1.4231,1,heavy
satimage-2,classical,5803,36,0.012235,0.033800,3.3048,0.2132,1.0000,1.9414,1,"rare,multi"
shuttle,classical,49097,9,0.071511,0.029600,3.3593,6.9584,0.7784,1.2617,1,skew
skin,classical,245057,3,0.207539,0.048200,1.8080,0.3340,1.0000,2.6138,1,"huge,heavy,multi"
smtp,classical,95156,3,0.000315,0.050000,1.4425,1.1928,1.0000,5.8169,1,"huge,rare,multi"
SpamBase,classical,4207,57,0.399097,0.047302,1.3767,11.1828,0.2286,0.7072,1,"heavy,sparse,skew"
speech,classical,3686,400,0.016549,0.050190,30.5766,0.0477,1.0000,0.2352,1,"highd,rare"
Stamps,classical,340,9,0.091176,0.050000,5.0030,2.8714,0.9974,1.3498,1,mid
thyroid,classical,3772,6,0.024655,0.049311,2.9462,3.5914,0.9972,0.9436,1,mid
vertebral,classical,240,6,0.125000,0.050000,2.6175,1.0445,1.0000,1.4949,1,tiny
vowels,classical,1456,12,0.034341,0.050137,6.9313,0.2532,1.0000,1.1850,1,mid
Waveform,classical,3443,21,0.029044,0.050247,8.6301,0.2278,0.9982,1.2459,1,mid
WBC,classical,223,9,0.044843,0.010000,4.7671,2.7651,1.0000,2.1645,1,"tiny,multi"
WDBC,classical,367,30,0.027248,0.051771,1.0839,1.7780,0.9929,0.8262,1,mid
Wilt,classical,4819,5,0.053331,0.050010,1.8232,3.6826,0.9995,2.5817,1,multi
wine,classical,129,13,0.077519,0.054264,1.0267,0.6094,1.0000,1.2722,1,tiny
WPBC,classical,198,33,0.237374,0.050505,8.8785,1.1226,0.9810,0.9840,1,"tiny,heavy"
yeast,classical,1484,8,0.341644,0.049865,7.4374,3.4125,1.0000,0.9535,1,heavy
CIFAR10,cv,5263,512,0.049971,0.050000,19.1300,6.5909,0.3258,0.5017,10,"highd,skew"
FashionMNIST,cv,6315,512,0.049881,0.050000,12.6994,9.0742,0.3706,0.6229,10,"highd,skew"
MNIST-C,cv,10000,512,0.050000,0.050000,9.2842,10.1170,0.3600,0.6831,16,"highd,skew"
MVTec-AD,cv,292,512,0.215753,0.051370,4.1833,2.1234,0.5291,1.9907,15,"tiny,highd,heavy,multi"
SVHN,cv,5208,512,0.049923,0.050000,12.0041,8.6316,0.3237,0.6721,10,"highd,skew"
Agnews,nlp,10000,768,0.050000,0.050000,5.6019,1.9806,1.0000,1.3287,4,highd
Amazon,nlp,10000,768,0.050000,0.050000,6.9551,3.3513,1.0000,1.0843,1,highd
Imdb,nlp,10000,768,0.050000,0.049800,5.7195,2.6678,1.0000,1.1696,1,highd
Yelp,nlp,10000,768,0.050000,0.049600,5.8074,3.3165,1.0000,1.0814,1,highd
20newsgroups,nlp,3090,768,0.049838,0.044660,5.4005,2.7168,1.0000,1.0769,6,highd
